gene,f_stat,p_value
DCPS,107.97864629293507,1.4811690866300393e-86
RAD51C,107.17305511754944,6.11485833124171e-86
YWHAB,106.94862806691532,9.078758346747705e-86
IP6K3,105.92231869892721,5.539210462995436e-85
GEN1,104.90883639537655,3.310334517999003e-84
HSPA8,104.71121887014533,4.692028583236163e-84
HMGB1,104.44826983854645,7.464126824413062e-84
COPS6,104.39896074777073,8.143165802818749e-84
VCP,104.0126338380716,1.6111180241929871e-83
BARD1,103.70926171256572,2.75368104245283e-83
RMI1,103.5344249872914,3.7506295532857445e-83
C1orf86,103.35167131925267,5.180803085146492e-83
NEIL3,103.17986593408362,7.019555987773627e-83
CDC25B,102.39998082766262,2.788703546320152e-82
FANCB,102.14741433198478,4.360364807319578e-82
XRCC6BP1,102.11848099265795,4.5894853574872736e-82
RAD9B,101.20568164711484,2.310886097988936e-81
SUZ12,101.12766390037761,2.6534513601590474e-81
CDC5L,101.12049052285424,2.687392487842282e-81
CDKN2A,101.02067700845342,3.2073222959772017e-81
HUS1,99.70124617778117,3.3285706158381263e-80
POLD4,99.19758298187928,8.137735611550255e-80
ATR,98.48578639493721,2.8809353400654395e-79
FIGNL1,98.4079971076184,3.3079525115189434e-79
ARID2,98.11513053264667,5.566623751295689e-79
PMS2P5,98.07434890786902,5.985112475612715e-79
POLR2J,96.76477603530283,6.147170181805393e-78
KANSL3,95.56618677252814,5.196985527753833e-77
TERF1,95.4431760518421,6.470862457470104e-77
PPP6R1,95.33637390270509,7.827754518830771e-77
UPF1,95.18916994942754,1.017658525938927e-76
HSF1,94.46760726988015,3.685407530480658e-76
HSP90AB1,94.23797837117405,5.551768910818628e-76
POLM,93.7942450617576,1.225780801457588e-75
XRCC6,93.45509337122469,2.246101939418643e-75
MAP2K7,92.97320991278002,5.312459241215351e-75
PLK3,92.04491995227967,2.7927374565741495e-74
RPA1,91.903649449597,3.595629292618055e-74
EREG,91.46659845413565,7.85952149351397e-74
RIF1,91.36043009183739,9.504298595783875e-74
MCPH1,91.3273226306216,1.0084541113376002e-73
PAPD7,90.98111029773445,1.874291160393962e-73
PINX1,90.72131577105117,2.9846360938618904e-73
STRA13,90.71106402008756,3.0399452933378356e-73
PPIE,89.94547416156362,1.1984602981750142e-72
HRAS,89.84367169122231,1.4383969267264825e-72
BRCA2,89.34041153857595,3.546491480030299e-72
NCAPD2,89.25040691772077,4.16785600184184e-72
CUL3,89.01999288239156,6.301377862722978e-72
APEX1,88.35482557031597,2.0793561152171785e-71
ERCC2,87.91480990043293,4.582627332723499e-71
THAP7,87.75458653172493,6.111079985373809e-71
FKBPL,87.03296135176022,2.235498594407801e-70
GATAD2A,86.86964282420226,2.998536176102375e-70
CSNK1D,86.39573308835098,7.032439241207922e-70
DCLRE1C,85.51186460452102,3.451671515757122e-69
JMJD6,84.93725312716394,9.7172824063087e-69
ENDOV,84.7594937441006,1.3386257387185596e-68
SETD2,84.46266643114657,2.2856674915903794e-68
SDCBP,84.21233354576542,3.5894424174650617e-68
ERCC6,83.88530944149078,6.473925220690987e-68
APLF,83.82531607848155,7.213843529532535e-68
HELB,83.65015394547962,9.89477965176641e-68
NSD1,83.05066334597025,2.9194085125170293e-67
RAD9A,82.69370344010264,5.5619010681448444e-67
PSMB6,82.22095967606525,1.306497508313485e-66
SCNM1,81.53374844670587,4.5245473880143305e-66
ACTB,81.47924018033602,4.993223337947413e-66
RAD23A,81.33920314360203,6.432272590687014e-66
ESCO1,81.23050324653575,7.82973459815922e-66
PRIM1,81.16390431697789,8.832111085991367e-66
REV1,80.3882308146896,3.594745253716677e-65
POLR2L,79.55925581991914,1.6132496681937888e-64
RNF169,79.51769030663442,1.7394413638513293e-64
TAF13,79.42929176612601,2.041624754670944e-64
POLR2B,78.68278496604344,7.901329899844362e-64
TYMS,77.80197896015596,3.9060737199781256e-63
NFRKB,76.72665101929911,2.753664139107983e-62
MSL1,76.39317699312598,5.0481385706551556e-62
TP63,76.27084005412097,6.30547588844023e-62
NFATC2IP,75.82465973379699,1.419338935335169e-61
SHPRH,74.86099092413518,8.197661619614816e-61
ARID1A,74.22379747586831,2.616311142347429e-60
UVRAG,73.79013985633831,5.766167611169836e-60
CHEK1,73.72360898173615,6.509588097432834e-60
BRMS1,73.31797929095853,1.3637359081571196e-59
MSH5,73.20934531774502,1.6625286451673989e-59
PPP6R3,72.9906376360768,2.47751463618125e-59
CDC6,72.84675783245922,3.2211456750609375e-59
ZNHIT1,72.80746917785982,3.4605186247279595e-59
EME1,72.1946086688516,1.0590360866022873e-58
NUDT1,71.72687247050713,2.4880336625540796e-58
SMARCE1,71.61144327223916,3.072037555483716e-58
POLR2K,71.57350445163019,3.2925004582197036e-58
ALKBH3,71.34033874893359,5.0412353000854395e-58
POLN,71.06003599031799,8.41411822123473e-58
FANCL,69.24815211718024,2.3153122864975367e-56
USP9X,69.18918506045034,2.579322200891905e-56
NUDT18,68.23544931677328,1.4804561755034908e-55
MMS19,68.18845919367932,1.6136330554786244e-55
APTX,67.35200704126497,7.48187966548442e-55
PSME3,67.05617723785954,1.2875522939541686e-54
RPA2,66.9650082850822,1.522067734682613e-54
RECQL5,66.9057285976562,1.697025405867006e-54
TCEA1,66.52866747682789,3.3909893986310726e-54
ENY2,66.05173547107813,8.142510546486936e-54
CCNB3,65.55311488666416,2.0355754520936542e-53
RAD51B,65.12451731933086,4.476042600408084e-53
UBE2V2,63.79215675396871,5.195702121229119e-52
DDX5,63.086296542889244,1.9068200957604598e-51
ALKBH1,62.83325615913127,3.039706616155379e-51
TAF11,62.41341570469846,6.591230780226595e-51
NEIL1,62.311820435111024,7.949275949453595e-51
SMC1A,62.12059604415323,1.1310695226047702e-50
ATRX,62.002242981248344,1.4070167386513427e-50
DMC1,61.269262137556254,5.4415732521918e-50
MPG,61.00978294374677,8.78576599499061e-50
BBC3,60.25103238535132,3.568367959999855e-49
EP300,60.143515867619485,4.35270861784268e-49
POLD3,59.99804550986455,5.695410970335382e-49
FANCM,59.32283329585981,1.984828976528939e-48
SOD1,58.178885890216854,1.6487278698580588e-47
UNG,57.856881859349,2.993242325277278e-47
ANKRD17,56.0448031789692,8.613171273502886e-46
HIST1H1C,55.93010809578666,1.0656121367436897e-45
