,mean,std
CNOT2,11.231025864287478,7.695269915371496
CNOT3,61.48076527242678,26.361169331592595
CNOT7,67.44508762233667,27.694379489222502
COPS2,26.900268188982743,11.00962800360831
COPS3,27.988355146933387,11.029398264711695
COPS4,16.423683274661542,6.433141517492997
COPS5,28.334249862302524,13.035480070622297
COPS6,678.1584463111616,358.20166061273363
COPS7A,204.75084333100804,90.8454354312174
COPS7B,25.134353227797096,8.636618406405178
COPS8,63.465332430128946,29.655680898282714
CPSF4,31.04706545308713,16.66340770701246
CREB1,12.021138495522381,4.966702409584657
CRY1,4.325082941558021,2.0090017609954045
CRY2,27.69994227180612,26.108716808437755
CSNK1D,96.70778041299313,35.10887558984899
CSNK1E,20.031491064949922,11.18646702336737
CSNK2A2,13.891920626525664,5.7940208484202165
CTC1,25.42483964877055,14.19633445416596
CTNNBL1,5.069875080581294,3.107077644804401
CUL1,11.849440614359274,3.718990611851863
CUL3,13.02832348119728,3.779936761312859
CUL4A,30.433240479156797,30.00257369119824
CUL4B,29.365390843668937,11.319577993180419
CUL5,7.858574310393436,4.120748097950925
CWC27,1.6875332544701445,0.5644356301558999
CXXC1,165.69687484019875,90.23567950301022
CXorf57,1.4774924719369846,2.4878884870395654
DAXX,4895.071901413076,1628.7268653080098
DAZAP1,68.71308413952174,26.89616449228546
DBF4,6.585410630831819,4.370951733283614
DCLRE1A,15.824610471804494,7.1669069147355655
DCLRE1B,26.597701030117708,13.03439942921808
DCLRE1C,4.708371384924447,3.3207714157692494
DCP2,16.056476156576593,10.03106070234729
DCPS,10.40754414866814,11.146494174806623
DDB1,132.31031036920032,49.57802839488505
DDB2,24.645309646745517,17.278831613720747
DDIT4L,28.318729088666256,97.95907072131564
DDX11,15.248888149813324,10.779866994925904
DDX42,54.093853142845845,16.926562938258108
DDX5,1239.5249223862938,446.67485394450205
DHX35,4.01476094463812,1.7530335605872274
DHX36,16.744714649500285,6.946752649768428
DHX9,73.50869763109748,17.789092886072012
DKC1,106.11397747445464,53.3417602107236
