,coef
CDC25A,0.014493915959609473
CDC25B,-0.00351074409184908
CDC25C,-0.04795933768180323
CDC5L,0.005614094261866454
CDC6,0.045625627284254976
CDCA5,0.13442917632004966
CDK10,-0.13611197388900234
CDK12,-0.07768818570407651
CDK2,-0.30626980501088247
CDK4,0.013680577003168647
CDK7,-0.1316423421110256
CDKN1A,0.027830574264434006
CDKN2A,-0.0693960001918947
CDKN2D,0.008554430222877522
CDYL,0.2768401710471154
CELF1,-0.03847853689182737
CENPO,-0.06745507667719716
CETN2,0.2396375324134149
CHAF1A,-0.3988377064485197
CHEK1,0.317483696117007
CHEK2,0.030800215933692837
CHERP,0.05390600460727006
CHRAC1,-0.440388220268767
CHTF18,0.2475353429220224
CHTF8,0.0707143505967188
CIB1,-0.13630539419881643
CIRBP,0.025828718620002383
CLASP2,-0.18354005295508383
CLK2,0.04242513167790586
CLSPN,-0.25834546350473914
CNOT1,-0.1350563518600032
CNOT10,-0.18819943902197211
CNOT2,0.04823424026178724
CNOT3,0.17643249860011442
CNOT7,0.2845270794296776
COPS2,0.007331038169051174
COPS3,-0.39240281032573837
COPS4,0.09304001801280738
COPS5,0.21542234569488877
COPS6,0.04359737752314677
COPS7A,-0.21544565645490998
COPS7B,0.12223989296679157
COPS8,0.33656978750890987
CPSF4,-0.01713747197727755
CREB1,-0.15778362739909274
CRY1,0.19322949435723263
CRY2,0.029545017063463314
CSNK1D,-0.25013508512201543
CSNK1E,-0.12492822598999556
CSNK2A2,0.14193824417474582
CTC1,0.18564280253072915
CTNNBL1,-0.07401988854638299
CUL1,-0.08344426763559745
CUL3,0.14390958512455324
CUL4A,0.07038262131816714
CUL4B,0.25252237687575935
CUL5,-0.18365828441569776
CWC27,-0.012918938224171637
CXXC1,-0.23843859585595492
CXorf57,-0.17821221051242842
DAXX,0.39860905416814835
DAZAP1,0.0685666284496153
DBF4,-0.04740287077273551
DCLRE1A,-0.20971367623180426
DCLRE1B,0.05324114242324614
DCLRE1C,0.16021526922035523
DCP2,0.17640149263950888
DCPS,0.13981278386835916
DDB1,0.22703570233931586
DDB2,-0.16929611257790989
DDIT4L,-0.25328528018100555
DDX11,-0.19903386038157103
DDX42,-0.0209925023653603
DDX5,0.1322482274117273
DHX35,-0.08131834088301826
DHX36,-0.010079740668915678
DHX9,-0.16950305901973883
DKC1,0.033124276846367394
DLGAP5,-0.021213551197753453
DMAP1,-0.15625596859764415
DMC1,-0.07012910687590458
DNA2,0.11832054774700322
DNAJC8,-0.3162981456704994
DNMT1,0.1276939971847882
DNTT,-0.10980199923620867
DNTTIP1,-0.18993780884571604
DONSON,0.12155772334022402
DOT1L,-0.2837023506011665
DSCC1,0.02877694629730231
DUT,0.006554181001032567
DYRK1A,0.1016032882376247
EID3,0.07247625874728315
ELAVL1,-0.2611362070311245
ELL,-0.06127433198759174
EME1,0.03139803432044564
EME2,-0.02099742836700923
ENDOV,0.21310394633299756
ENY2,0.002601867434519102
EP300,-0.12504396660465933
EPC1,0.11533909557283471
ERCC1,0.06208542054559181
ERCC2,-0.12182967617210182
ERCC3,-0.16652775425223798
ERCC4,0.18181311215951257
ERCC5,0.042272645037426546
ERCC6,-0.14555531755453419
ERCC8,-0.006448033374761881
EREG,-0.2891525555479892
ESCO1,0.221462091432882
ESCO2,-0.1473107983681356
ESR1,1.001641686165813
ETAA1,0.04987969204305685
EXO1,0.42506046612502163
EYA1,-0.13929863801121328
EYA3,-0.13270829473723075
